true,mu,sigma
0.04595473982005123,0.17255268359330653,0.16544137416844912
0.046292688460268065,0.1724413728948313,0.16477203773203414
0.046633063045938714,0.1724002693694518,0.16410853904528247
0.04697588011642239,0.1722321325183331,0.16345372972492164
0.04732115631092243,0.17189794116689094,0.1628088251735342
0.04766890836889514,0.17145164240112953,0.16217183262699733
0.04801915313045744,0.1708903174686129,0.16154280183275305
0.04837190753679284,0.17018468714174723,0.16092275898278435
0.0487271886305557,0.1695852944887379,0.1603101355747541
0.049085013556274225,0.16887216462802154,0.15970518949735357
0.04944539956075124,0.16810817366665975,0.1591041108948418
0.04980836399346364,0.16723210603154512,0.15851048757712774
0.05017392430695965,0.16646658033906225,0.1579241782862256
0.05054209805725421,0.16583437979649357,0.15734600477015015
0.050912902904222526,0.16506826100904323,0.15677591103864916
0.05128635661199136,0.16442656550308762,0.15621347312287726
0.051662477049328116,0.1639742546310862,0.15566053127566856
0.052041282190027904,0.16362570450623262,0.15511423826705165
0.05242279011329815,0.1631780068743465,0.15457430938686278
0.052807019004140685,0.16288261279918875,0.15404267442203023
0.05319398715373173,0.16270040182132275,0.1535178849103922
0.053583712959798836,0.16267921251088235,0.15300148758148585
0.05397621492699566,0.16278238833223863,0.1524922323264921
0.05437151166727374,0.16305136445263932,0.15199134775032658
0.05476962190025137,0.16320830089595473,0.15149698289618801
0.055170564453579984,0.163512534803444,0.15101031697053208
0.055574358263307116,0.1637136779750728,0.15052965289263312
0.055981022374236515,0.16382277608816415,0.15005440796563
0.05639057594028514,0.16381499458281165,0.14958560559541734
0.056803038224836754,0.16393639176238609,0.14912363160647918
0.0572184286010922,0.1641598185277612,0.14866735092584066
0.057636766552416376,0.16428362708405386,0.14821659141171442
0.058058071672681545,0.1642871365002512,0.14777213867153824
0.058482363666606973,0.16435589773829148,0.14733123135673326
0.05890966235009504,0.16429240084601335,0.1468969212387793
0.059339987650563225,0.16409333892640143,0.14646925094854643
0.059773359607272473,0.16401240574457032,0.14604754602298511
0.060209798371651344,0.1638641337647388,0.14562929045837233
0.060649324207615984,0.16360537755885093,0.1452165771449383
0.06109195749188602,0.16328989964522928,0.14480650250831045
0.061537718714296044,0.16307819250678732,0.14440156972956794
0.061986628478102476,0.1629449734048949,0.1440005057255075
0.062438707500286225,0.16271034446914834,0.14360436093987597
0.0628939766118503,0.16255237533562125,0.14321187038931746
0.0633524567581128,0.16231091348462878,0.14282333961226107
0.0638141689989951,0.16198793760875552,0.14243860901988445
0.06427913450930489,0.16152633690239604,0.14205990477655941
0.06474737457901397,0.16122805836496898,0.1416878491034721
0.06521891061353122,0.16082706557060705,0.14132041014568686
0.06569376413396959,0.16052231534305295,0.1409572508136546
0.06617195677740825,0.1601294954407498,0.14059793669885345
0.0666535102971487,0.15962682703123518,0.14024335239282204
0.06713844656296504,0.1590087382183314,0.13989365073368196
0.067626787561349,0.15825788048471304,0.13954936578488672
0.06811855539574832,0.15761421329094735,0.13920953433774202
0.06861377228679925,0.15710647793355725,0.13887510042730788
0.06911246057255302,0.1567765035224978,0.1385470924286472
0.06961464270869563,0.15629000422462613,0.13822494471001484
0.07012034126876117,0.1558522530789552,0.1379038931770928
0.07062957894433877,0.15551851419688228,0.1375868932649189
0.07114237854527236,0.15529724584348545,0.13727421804680312
0.07165876299985388,0.15522151102977852,0.13696687829329016
0.07217875535500923,0.15528669246449656,0.13666468700916118
0.07270237877647691,0.1552750384256493,0.1363650930855377
0.07322965654897977,0.15512125529732956,0.13607057275352455
0.07376061207638873,0.15485194073264172,0.135780222901167
0.07429526888187915,0.15467183072023033,0.13549292763716464
0.07483365060807948,0.15466238240105004,0.13521126796162206
0.07537578101721186,0.15473979481657565,0.1349324568466718
0.07592168399122451,0.15495994267139984,0.134658470239089
0.07647138353191629,0.15507992603462864,0.13438781554751936
0.07702490376105248,0.15509563152481126,0.13412060850154017
0.07758226892047208,0.15501104523135295,0.13385664203054418
0.07814350337218677,0.15514016389935853,0.13359881828075218
0.07870863159847039,0.1553786096489687,0.13334449047767696
0.07927767820194004,0.15572195544317144,0.1330934440161871
0.0798506679056276,0.1558974870989414,0.1328474994012882
0.08042762555304189,0.1561801189611262,0.13260482774375032
0.08100857610822162,0.15657144557922265,0.13236544310821538
0.08159354465577845,0.15689331767058826,0.13212753047057543
0.08218255640093003,0.15708820814695768,0.13189343735225317
0.0827756366695235,0.15719854036576314,0.13166149577100325
0.08337281090804839,0.1571976515616964,0.13143275380518224
0.08397410468363918,0.15702407682111327,0.1312088845147723
0.08457954368406759,0.15672863279135768,0.1309884912049914
0.08518915371772393,0.15638564562167556,0.13076796361995888
0.08580296071358749,0.1562111884445781,0.13055207969256705
0.08642099072118617,0.1561884258530524,0.13034039577474082
0.08704326991054438,0.15605235292097477,0.13013172732508557
0.08766982457211998,0.15601546102844463,0.12992550657994345
0.08830068111672928,0.15582718746280316,0.12972334791634613
0.08893586607546014,0.15574199819337473,0.12952370883833247
0.08957540609957347,0.15552749298622823,0.12932743984585668
0.09021932796039217,0.15545417454714505,0.12913484064212047
0.0908676585491776,0.15552444816843827,0.12894593569164173
0.09152042487699394,0.15545807763051597,0.1287604946005673
0.0921776540745593,0.15549069353262113,0.12857722206160485
0.09283937339208394,0.15534354170365916,0.1283983617670531
0.09350561019909555,0.15532332372863028,0.1282225654229701
0.09417639198425078,0.15542299265510381,0.1280495746086189
0.09485174635513356,0.15560490336341165,0.12787789480038808
0.0955317010380394,0.15570008245301434,0.12770769487887632
0.09621628387774553,0.15589758151615196,0.1275395779714455
0.09690552283726733,0.15625437666516026,0.12737520284625106
0.09759944599760001,0.15669022995815546,0.12721185477951197
0.09829808155744542,0.15721049285014863,0.1270497486672908
0.09900145783292473,0.15780836547200097,0.12688853485455656
0.09970960325727539,0.15848673706314154,0.12672831801178475
0.10042254638053306,0.15901286320309993,0.126571495068021
0.10114031586919829,0.15945024325554985,0.1264159731777419
0.10186294050588708,0.16000049090343316,0.1262626405440966
0.10259044918896573,0.16065055777097842,0.12611099305734436
0.10332287093216971,0.16116185716355116,0.12596225491373347
0.10406023486420575,0.16155529441103939,0.12581577334683341
0.10480257022833776,0.16182143252121245,0.125671809379688
0.10554990638195573,0.16220395827606932,0.12552999023951117
0.10630227279612744,0.16275483031417506,0.12539166036071725
0.1070596990551333,0.16341235902280535,0.12525508104093674
0.10782221485598327,0.16418062023122734,0.12512036508591434
0.10858985000791624,0.16483150570309255,0.1249877040615625
