aggasi_mu,aggasi_sigma,aggasi_time,borg_mu,borg_sigma,borg_time,connors_mu,connors_sigma,connors_time,courier_mu,courier_sigma,courier_time,djokovic_mu,djokovic_sigma,djokovic_time,edberg_mu,edberg_sigma,edberg_time,federer_mu,federer_sigma,federer_time,hewitt_mu,hewitt_sigma,hewitt_time,kuerten_mu,kuerten_sigma,kuerten_time,lendl_mu,lendl_sigma,lendl_time,mcenroe_mu,mcenroe_sigma,mcenroe_time,murray_mu,murray_sigma,murray_time,nadal_mu,nadal_sigma,nadal_time,nastase_mu,nastase_sigma,nastase_time,roddick_mu,roddick_sigma,roddick_time,sampras_mu,sampras_sigma,sampras_time,vilas_mu,vilas_sigma,vilas_time,wilander_mu,wilander_sigma,wilander_time
1.397624422028281,1.2774910597742377,31465,-0.09828037559015323,1.5310223908297937,26236,1.507364180456933,0.9966876381024163,25801,-0.21619986876125388,1.4786999945718842,31962,0.35910982915334394,1.29790166867874,38017,-0.26169533722163507,1.4637017501588994,30212,-0.12043179129142595,1.5192539013878859,35980,-0.05288994737138811,1.5578897030033205,35441,-0.30620901024240216,1.444621937621698,34160,-0.1432260672065707,1.510445268766588,28637,1.6112934605194602,1.1204857943562763,27993,-0.07513076110570154,1.5584260028673913,37786,0.5093285962118208,1.2813547342300715,37149,1.161952112669895,1.2222726445294358,24248,-0.22308768716732447,1.4738498918457958,36582,-0.1816755448455413,1.4918878141644347,32193,0.47433388395186615,1.2919854218782374,25151,0.9969892481736138,1.223681976561371,29414
3.3452092478397004,0.7628519814316566,31605,2.0086105404453622,1.068304497887903,26403,1.375647421973746,0.9504528612688695,25811,-0.26109404424096583,1.500096255015685,32095,3.40991912638929,0.7530624856202383,38122,-0.4703290531592569,1.3676351362385912,30247,-0.2551379773692767,1.455132666998209,36029,0.7960972667645801,1.1632045524975034,35770,0.31164918824018645,1.2373327056151493,34580,2.741217929454541,0.872888956704029,28756,1.5477456487080097,1.1794649245550197,28169,2.2422753627834573,0.8749383908826497,37814,1.8431788179541617,0.9908759659634272,37373,0.894566283804626,1.1372604372936455,24276,2.171564455152086,1.080237737325745,36603,3.0602778285427403,0.866251044894824,32200,1.9946226413705053,0.9827913697585396,25516,1.2923647731212573,1.0112935299363577,29442
4.123902290718993,0.6261961282141335,31626,1.8800378183903157,1.0500230506445625,26471,2.7567533893058935,0.7254334534671434,25828,-0.5316571530133779,1.3846200882230344,32102,3.065439491282878,0.7363010979464868,38185,-0.6169236196541215,1.2907008186998066,30254,3.1019627677089088,0.868362069191506,36064,4.3719699155541285,0.654619622793117,35798,1.936869119436357,0.8320815226420816,34671,2.413530482474025,0.8092107982368121,28769,3.2874195736166727,0.8298064402850958,28232,2.1060599696158353,0.7576604387965831,37828,2.059550382794183,0.8620737290422124,37527,1.7976273193892904,0.920152313060545,24612,1.9519039604493584,1.071959127777404,36743,2.866131558676821,0.8539872311416631,32263,1.4276804655699729,0.990584617809822,25739,1.1028745289368989,0.9489335158588498,29449
3.729016090616829,0.5887145469330678,31633,2.7140078039643694,0.8192973125351681,26494,2.8915737545695466,0.6774411711949003,25857,-0.009028484540472939,1.1559037824708265,32109,3.104737426794698,0.6460492901969246,38220,-0.7059071430197573,1.2974158707385597,30380,3.036299751204278,0.8461144122909794,36071,4.330844865898753,0.582166196228622,35805,1.5686705960531153,0.8725409351256872,34846,3.542467224876315,0.5833119771640495,28770,3.0588763099451013,0.7696894044899549,28266,2.0705557193985795,0.711005200565181,37919,2.8797262924104956,0.6408857847509434,37534,1.3008684730986895,0.8716627593181417,24647,3.8571572734154094,0.6803903876469196,36750,2.652034826992524,0.7507809490779447,32270,1.8606484678416728,0.8241104240737103,25765,1.0259978248845918,0.9380376007138075,29484
3.4361518972625222,0.5720661360095294,31648,2.3216032639579844,0.7930123800201073,26557,2.870275264625044,0.7009545657426182,25976,-0.29905811153683737,1.0616276611608761,32116,3.032171596204582,0.5609540810750275,38227,2.5326187066948327,0.7707247202457193,30422,3.6934295571372475,0.6715638586370364,36183,4.0743889431092235,0.5597854029077514,35812,2.831771481000155,0.6089270988156594,34853,3.326919964295915,0.5749317847964202,28790,4.119097788706789,0.5739065262642674,28294,1.7548760075842926,0.8141163028911325,38136,3.3835597191311826,0.5728658776384509,37646,1.210674261534118,0.948465742529566,24983,3.6360047844190433,0.6183118831864296,36764,3.066987351583994,0.671651110045315,32340,1.4321743676847847,0.7721679956108827,25767,0.9415570876338838,0.9069950491263423,29491
3.125024910308954,0.5556143875926748,31675,2.480026468128395,0.7086112945695183,26565,2.862320225418238,0.674749779689893,25983,2.485836153863886,0.6717203645278793,32158,3.078640530553781,0.5280632987029957,38241,2.8050819185057945,0.7169750757240583,30485,3.9757918224455326,0.5707410496159813,36190,3.828563909672275,0.5814844514964254,35861,2.9262605333931413,0.546354666347954,34860,3.38446593074073,0.5361306963957546,28791,3.7386711496400595,0.5487619450730247,28308,1.6127219965818378,0.766113714121876,38171,3.3010854948063093,0.5209318796502667,37653,1.188884775493132,1.0940228639003753,25237,3.154675142553682,0.5922073985502249,36792,2.60990223477949,0.6578935014092436,32354,1.4779212708713412,0.7972617658061008,25878,0.9295314803405074,0.9246191888815688,29527
2.9389000841222983,0.5468483074146736,31689,2.7556367964783224,0.6597592462664766,26606,2.862773373291241,0.6329042973330483,25991,2.5591217138697067,0.6567014834971476,32214,3.047709916709268,0.5080325935017147,38255,2.878742158710103,0.6910742189267985,30506,4.2549264976585786,0.5227750652443133,36204,3.684969168926365,0.5653615461624848,35868,2.740315661806502,0.5602373501159605,34895,3.334385557810441,0.518207768620735,28798,3.859879552211895,0.49501649178495205,28315,1.4920536832949671,0.7398345195105743,38178,3.5085797971591375,0.4722562952987885,37674,1.144692752669036,1.0953184640803375,25284,3.604337378198555,0.5013294052333486,36799,2.295338339582832,0.6271155658929055,32361,1.5200244729588572,0.9914726514181506,26266,0.8164900106687005,0.9694095568388096,29666
2.8299364634583846,0.5364407987195963,31696,3.1683563027411408,0.575786359553095,26613,2.6638333251278454,0.6962367198768288,26103,2.4331529244297623,0.6053685767281306,32242,3.622858964115333,0.467195802044682,38290,2.367929086665254,0.6869869523121392,30556,4.043810622734956,0.5032115679930259,36218,3.351140277296573,0.5826182198954113,35917,2.5621197479429143,0.5456489334443628,34902,3.2480884127361125,0.5606810301226396,28903,3.7552104205328334,0.4885611701569317,28322,1.389725621207994,0.7871091241204178,38276,3.38914232417263,0.4669909572160629,37681,0.7853564209134174,1.024298406690492,25333,3.7240394893098805,0.46129213026203486,36827,2.2326500665811624,0.6175174694500453,32368,1.0925622160753632,0.9759232395837879,26411,1.4877582160538838,0.772202846164498,29673
2.8077013667104707,0.5355016068174935,31731,3.0434538654901817,0.6558781276808053,26747,2.474459270861803,0.6821622272228997,26129,2.993456506769545,0.5173988600814299,32256,3.5796463227385455,0.4532808265626904,38297,2.473487685394369,0.6535008214661938,30597,3.8397223495849286,0.4996550740084002,36232,3.052376418265734,0.5790396982267656,35945,2.6378120549300497,0.5022472877400459,34909,3.088911797224235,0.5877608771086728,28952,3.8963034027503203,0.4698311063071464,28335,1.1632338529984259,0.8285233293085754,38374,3.5003303326747996,0.41928921952109593,37695,1.5461931073410426,0.8606658690023283,25342,3.9457635853803392,0.4146673519848172,36834,2.440693610579335,0.5651339878631719,32375,1.442809283979823,0.8581899422291263,26430,2.575673038595941,0.6470769686089956,29715
2.6486210066641394,0.5942447321260471,31808,2.9919954970881033,0.6173311432557621,26754,2.7952026518133986,0.5846127329557581,26136,2.902570808420243,0.5109645087999911,32263,3.5076874064947674,0.5298577371339641,38367,3.189551729751338,0.5393245868140132,30604,3.7324932689221963,0.5252408700819198,36267,2.9250347646805133,0.564610654373694,35952,2.4980742868660393,0.4935045419577215,34916,2.8293907905194446,0.5906512562243396,28987,3.9816722559597393,0.44123584488689505,28343,1.5293385466925014,0.7422197239436177,38430,3.8191652950152135,0.389345908593174,37702,0.9218769049067893,0.801504825790033,25349,3.9506723922521636,0.39488836994880155,36848,2.3236645459077234,0.5526800036925547,32382,2.558256390985086,0.6547441908088214,26439,2.8082686711244738,0.598145359975414,29757
