rownames,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0
0.01,-269724.33014227846,-269777.58752861735,-269835.7975334587,-269861.2947401864,-269840.895036356,-269773.5144465659,-269664.6855162756,-269523.38309271156,-269359.83360963786,-269183.96887935034,-269004.4385093609,-268828.1113099501,-268659.961169463,-268503.2125658835,-268359.6276686589,-268229.8422104158,-268113.6886163346
0.0125,-268668.363898456,-268718.93016597535,-268781.22373554524,-268819.74829970475,-268820.7666015153,-268781.3466953252,-268704.65102350316,-268597.2880607256,-268467.46141838946,-268323.59242753976,-268173.3615758867,-268023.1460753494,-267877.79659191193,-267740.6654443835,-267613.79072159383,-267498.1532236829,-267393.9455744991
0.015,-267885.3626989898,-267925.35965683195,-267983.7242347378,-268026.8170912043,-268040.82786096644,-268021.63398541085,-267970.57096720545,-267892.19184537244,-267792.74544878816,-267679.01814581896,-267557.4780931776,-267433.71950241225,-267312.1834357751,-267196.10082812916,-267087.5876161159,-266987.82393476786,-266897.2630779508
0.0175,-267297.2936107434,-267322.57282427506,-267372.38393613993,-267414.57408724126,-267435.51066581067,-267430.3698579403,-267399.16419858666,-267344.783445271,-267271.7492180808,-267185.27762614086,-267090.5610896188,-266992.26657629514,-266894.2451663873,-266799.4239858291,-266709.83358574694,-266626.7195163159,-266550.69326686964
0.02,-266854.0110338734,-266862.6791102296,-266901.57782810414,-266939.6563403924,-266963.52614824404,-266967.96170986095,-266952.03364273335,-266917.32531539747,-266866.9003411233,-266804.5612110384,-266734.2741352539,-266659.7449624407,-266584.1477232141,-266509.9935383387,-266439.1116805387,-266372.7071702095,-266311.4605449876
0.0225,-266521.96148370084,-266513.4268247487,-266540.46952033974,-266572.78220775863,-266597.16941041505,-266608.15019682224,-266604.1045210926,-266585.58856153715,-266554.4574988852,-266513.28549088805,-266464.92141664185,-266412.14808762155,-266357.4458036823,-266302.85760795657,-266249.9417836281,-266199.7890406924,-266153.0799480529
0.025,-266277.88592998486,-266252.2937407136,-266267.3937874667,-266293.31091805536,-266316.9281321956,-266332.5478119897,-266338.00195848115,-266333.01595137594,-266318.4413712481,-266295.8026671545,-266266.9634229019,-266233.86269634136,-266198.3183098637,-266161.8993240844,-266125.8626540842,-266091.14135082986,-266058.3685416414
0.0275,-266105.19086370687,-266063.10059419693,-266066.6823134804,-266086.2354488154,-266108.57932387106,-266127.76893780334,-266141.14959745307,-266147.7400753634,-266147.54322027677,-266141.1893183785,-266129.6901858695,-266114.23988711205,-266096.0545887569,-266076.2561476824,-266055.80050182843,-266035.4456851258,-266015.7500538562
0.03,-265991.7626909709,-265933.9669361027,-265926.7567723051,-265940.3994833656,-265961.5022255982,-265983.80029909895,-266004.1564774012,-266020.9502013228,-266033.4449106272,-266041.50412019785,-266045.41150132683,-266045.7203623602,-266043.1220179836,-266038.33924098825,-266032.04984065297,-266024.8401259631,-266017.1836341926
0.0325,-265928.5952970087,-265856.01850282634,-265838.9203588121,-265847.37298881466,-265867.6277283181,-265893.005047571,-265919.8514173416,-265945.9322806703,-265969.8436594148,-265990.7825570825,-266008.41352959047,-266022.7506190496,-266034.04367943376,-266042.6770472879,-266049.08847458323,-266053.71123929095,-266056.93795156863
0.035,-265908.89587501925,-265822.53723030305,-265796.55804259295,-265800.7071370444,-265820.74612490676,-265849.47469714214,-265882.66558665165,-265917.466473771,-265951.8495526244,-265984.4223808184,-266014.3240281347,-266041.1238264148,-266064.71405243245,-266085.2072826092,-266102.8486309315,-266117.94776226656,-266130.83083887165
0.0375,-265927.4837173859,-265828.3842070986,-265794.5888535278,-265795.4212630375,-265816.0304121278,-265848.58580769686,-265888.2156098065,-265931.4272016585,-265975.592395857,-266018.78809953714,-266059.7074774573,-266097.5610649102,-266131.9642740305,-266162.8260491842,-266190.25110329664,-266214.4616545375,-266235.7394146519
0.04,-265980.37495414395,-265869.59744764195,-265829.0805636136,-265827.63917489565,-265849.6970246426,-265886.68504003173,-265933.00983425404,-265984.5052505809,-266037.9530850071,-266090.9450384927,-266141.7961689252,-266189.43528364267,-266233.276429357,-266273.0914415805,-266308.89826978743,-266340.871422968,-266369.27496597625
0.0425,-266064.4890514436,-265943.1053245849,-265896.97260825394,-265894.3253572291,-265918.75831830356,-265960.8590492695,-266014.2347025385,-266074.00781503227,-266136.3732795735,-266198.4740603658,-266258.30561163626,-266314.583827956,-266366.59070464957,-266414.02388320374,-266456.8671179495,-266495.28799725976,-266529.5622427658
0.045,-266177.4371924015,-266046.51847359433,-265995.873166208,-265993.0901297706,-266020.83845805307,-266068.76278297213,-266129.5957103156,-266197.71092683333,-266268.71687222796,-266339.3389892294,-266407.304648677,-266471.178285568,-266530.17264393554,-266583.96923576365,-266632.567375898,-266676.1675898033,-266715.0870976343
0.0475,-266317.36699065135,-266177.9762783696,-266123.9083287129,-266122.04365816864,-266154.03461591096,-266208.4896227028,-266277.1973291921,-266353.74885495385,-266433.1675551823,-266511.79021043447,-266587.12266210566,-266657.63292485697,-266722.520770154,-266781.5040750005,-266834.6433855649,-266882.20958986937,-266924.5902421592
0.05,-266482.84667302575,-266336.03178826626,-266279.6083312866,-266279.6851091672,-266316.8110021892,-266378.4720496753,-266455.4513799113,-266540.5303912994,-266628.1522866514,-266714.2939384679,-266796.2827880264,-266872.5399095962,-266942.3020262275,-267005.36985905387,-267061.9059364267,-267112.28538588434,-267156.9927657455
