aggasi_mu,aggasi_sigma,aggasi_time,borg_mu,borg_sigma,borg_time,connors_mu,connors_sigma,connors_time,djokovic_mu,djokovic_sigma,djokovic_time,edberg_mu,edberg_sigma,edberg_time,federer_mu,federer_sigma,federer_time,hewitt_mu,hewitt_sigma,hewitt_time,lendl_mu,lendl_sigma,lendl_time,mcenroe_mu,mcenroe_sigma,mcenroe_time,nadal_mu,nadal_sigma,nadal_time,nastase_mu,nastase_sigma,nastase_time,sampras_mu,sampras_sigma,sampras_time,vilas_mu,vilas_sigma,vilas_time
2.7181168000884575,0.5380763023993121,31465,2.631148397818983,0.6257153573502473,26236,3.0747845953181963,0.4693964978436531,25801,2.946695644946414,0.5159499004968418,38017,2.1542102320981087,0.56820103112213,30212,2.8839895944368688,0.5103564081850234,35980,2.7287458318153694,0.6794401460838889,35441,2.9834453152427707,0.5207853981265881,28637,3.13624690973746,0.5788894811061893,27993,2.4967892268914524,0.6475665835804807,37149,2.176350420667165,0.698512577532043,24248,2.61442453518426,0.4687137722357255,32193,1.7631039565165438,0.7583301219164318,25151
2.884853109554676,0.3987772294675954,31605,2.9337131138209256,0.5100104728975559,26403,3.091445754970136,0.4624814375302765,25811,3.208366944354434,0.42545802440087027,38122,2.210271615773591,0.5433880285589129,30247,2.989231870264961,0.46624242876236655,36029,3.2713105190282503,0.42495860908859256,35770,3.2170204392521646,0.3965164112486425,28756,3.497676167146948,0.45569187087274304,28169,2.916529238993936,0.5151419774861684,37373,2.1828384073022837,0.6940671662327674,24276,2.6257804741282538,0.46183925864877096,32200,2.167122238092311,0.6216841781930216,25516
2.8756480492975767,0.38320258030291077,31626,3.021618558201995,0.4678714061399409,26471,3.1309906632181286,0.45271200545803847,25828,3.2280560535953007,0.3840903683297165,38185,2.224752190499034,0.5393573250758603,30254,3.0869655835808176,0.4351753778167356,36064,3.3532538944042916,0.39395403013031693,35798,3.2350026501564586,0.38415605667737446,28769,3.650815919072924,0.3911589648938699,28232,3.2303881263694647,0.4031484470218603,37527,2.3636898368587227,0.6109483849960614,24612,2.6422384946084363,0.4227805402421861,32263,2.1110935880572823,0.5672483049477132,25739
2.854941242468665,0.38100557785520467,31633,3.0598422608932667,0.45262464551696596,26494,3.1563539061897514,0.4476672432162957,25857,3.2644107701311875,0.35487097654381805,38220,2.5892786663920937,0.4677040935674752,30380,3.0984895697900328,0.4317752927954556,36071,3.3396637381216627,0.3913366652220148,35805,3.2354762877827445,0.3833620281264344,28770,3.7127502701752997,0.35845413864474057,28266,3.248414284123233,0.3973932742260122,37534,2.3655746615779636,0.6115885397214582,24647,2.6454686190407117,0.4179632338254716,32270,2.1240073557533856,0.559861796162344,25765
2.8292574617754704,0.3788539756541755,31648,3.128628160317136,0.4199882267781918,26557,3.2401668149539176,0.4096214773053942,25976,3.2711246222960613,0.3502571849999362,38227,2.740523450551978,0.4385990094606375,30422,3.308151057473733,0.34574955828779236,36183,3.325749045850171,0.39087201183366677,35812,3.2411497406553447,0.3790831329841633,28790,3.7827092363327233,0.3289592457769559,28294,3.5004357184926445,0.31375490827727676,37646,2.741980130087607,0.589679179684613,24983,2.710963607394574,0.3720896251071269,32340,2.1235479297975934,0.5599907222486689,25767
2.808969134366073,0.3750212589812443,31675,3.1440801529453863,0.41573772650070395,26565,3.247302388784918,0.4066829749053157,25983,3.2952741258985543,0.34566526135628106,38241,2.8653353469469605,0.41412875053873455,30485,3.313077124719762,0.34074738012804257,36190,3.267986542142319,0.38551065560197584,35861,3.2415445214444527,0.3789555773228373,28791,3.7868445582634886,0.3192760203398795,28308,3.5129430768038956,0.3077830747507435,37653,3.1682281868545696,0.48789150726069236,25237,2.7095223671270716,0.36429005358329547,32354,2.2006301991545936,0.5762333296759806,25878
2.8102758445012532,0.37475795569433223,31689,3.229013620180687,0.39839257664882943,26606,3.2559693617012533,0.4041965967936639,25991,3.31844073116598,0.3429682198240656,38255,2.906409884945021,0.40666212341427543,30506,3.3032289458002064,0.3354679602912777,36204,3.2642533056890173,0.38438596689083143,35868,3.2501510650916035,0.37953103862281506,28798,3.7987758537485483,0.31499680651425677,28315,3.566753790080263,0.29198277304303105,37674,3.254691319602039,0.45184371072441704,25284,2.718081901161166,0.3609506137358688,32361,2.553446407172541,0.5088751247333861,26266
2.816547038213686,0.3751212825231794,31696,3.241988295879744,0.39638233499164177,26613,3.4115125904723653,0.35018003626497773,26103,3.412334552236949,0.33700134173139173,38290,3.0009004870754663,0.3842322920626287,30556,3.2791335637513024,0.332906834747984,36218,3.271639207580995,0.37308406099551567,35917,3.4295814897801025,0.3648299135624557,28903,3.813190334414414,0.31285876320281353,28322,3.5832581771817362,0.288210716810128,37681,3.3584984753002303,0.408574214128017,25333,2.7339193674072426,0.3582672938665882,32368,2.7101465457435374,0.39599284066323576,26411
2.8718774632778663,0.37595776885090315,31731,3.427369050917404,0.34442057709416185,26747,3.4684618785154484,0.3262459426817545,26129,3.41271313287813,0.3381947436868938,38297,3.1065342345178175,0.35805403773066774,30597,3.26387572150806,0.3315319836164595,36232,3.31288740012219,0.36312130347212496,35945,3.5472510719987382,0.3444342637691376,28952,3.8475291739003716,0.3085627247947826,28335,3.629594428413499,0.27984882831929836,37695,3.385415775166905,0.4006527766226475,25342,2.7514391999620087,0.35580739788997867,32375,2.747980731402568,0.3761872146305812,26430
3.0250723649726505,0.3638618941251216,31808,3.4389292149255826,0.33897179042332726,26754,3.489569309168002,0.31943880346545983,26136,3.42794368655922,0.33849135429421384,38367,3.12533877136086,0.35385068843886724,30604,3.2522772560227584,0.322710006036086,36267,3.3299653870993207,0.36072861945990203,35952,3.6518950969318236,0.3192937199328897,28987,3.8625586475229476,0.306889774825303,28343,3.6516131174587825,0.2779672015954816,37702,3.4053126346395874,0.3955720547094554,25349,2.768531904663428,0.3549556233880711,32382,2.7686638100525416,0.3675116825643154,26439
